time,d2m,msdwswrf,ssrd,t2m,tcc,tp,u10,v10
2018-12-31 19:00:00,241.50447,,2.0,245.44006,,3.2407697e-05,-1.214471,0.7507576
2018-12-31 20:00:00,241.76935,,2.0,246.07664,,1.6423874e-06,-1.224095,0.7944363
2018-12-31 21:00:00,242.07657,,2.0,246.69884,,3.7332065e-06,-1.2233402,0.83973265
2018-12-31 22:00:00,242.38235,,2.0,247.22955,,5.8240257e-06,-1.2332157,0.8797403
2018-12-31 23:00:00,242.7355,,2.0,247.72644,,7.765833e-06,-1.2316432,0.9094194
2019-01-01 00:00:00,243.13605,,2.0,248.20029,,9.259209e-06,-1.21315,0.9185036
2019-01-01 01:00:00,243.53227,,2.0,248.58194,,1.0752585e-05,-1.2064824,0.9157659
2019-01-01 02:00:00,244.0376,,2.0,249.09683,,1.1350028e-05,-1.165785,0.944885
2019-01-01 03:00:00,244.48479,,2.0,249.23077,,1.1350028e-05,-1.179183,0.92796105
2019-01-01 04:00:00,244.91618,,2.0,249.26605,,1.1350028e-05,-1.2056646,0.929641
2019-01-01 05:00:00,245.29662,,2.0,249.364,,1.14995055e-05,-1.2412043,0.916948
2019-01-01 06:00:00,245.14804,,2.0,248.19955,,1.1797994e-05,-1.3031626,0.78280103
2019-01-01 07:00:00,245.15736,,2.0,248.06418,,1.2096483e-05,-1.3236057,0.73999345
2019-01-01 08:00:00,245.08057,,2.0,247.96552,,1.2395438e-05,-1.3130382,0.7083855
2019-01-01 09:00:00,245.17244,,2.0,248.0685,,1.2843404e-05,-1.3137301,0.6657024
2019-01-01 10:00:00,245.17531,,2.0,248.10306,,1.3888814e-05,-1.2788824,0.62021935
2019-01-01 11:00:00,245.44664,,2.0,248.71085,,1.433678e-05,-1.2663021,0.61069965
2019-01-01 12:00:00,245.812,,2.0,249.48497,,1.4486257e-05,-1.1920149,0.61580175
2019-01-01 13:00:00,246.09984,,2.0,250.18494,,1.4486257e-05,-1.1390517,0.6322901
2019-01-01 14:00:00,246.89445,,2.0,250.32175,,1.4635734e-05,-1.1205585,0.6678801
2019-01-01 15:00:00,246.80832,,2.0,250.34552,,1.4784746e-05,-1.175409,0.6925816
2019-01-01 16:00:00,246.82698,,2.0,250.63716,,1.4934223e-05,-1.1447757,0.68001306
2019-01-01 17:00:00,246.69275,,2.0,250.71997,,1.4934223e-05,-1.101059,0.6258192
2019-01-01 18:00:00,246.55493,,2.0,250.62636,,1.4934223e-05,-1.0552664,0.573803
2019-01-01 19:00:00,246.3604,,2.0,250.44633,,1.4934223e-05,-0.9917984,0.5233423
2019-01-01 20:00:00,246.39413,,2.0,250.46146,,-4.656613e-10,-0.9763875,0.47835708
2019-01-01 21:00:00,246.15439,,2.0,250.28358,,-4.656613e-10,-0.9781487,0.45178896
2019-01-01 22:00:00,245.93115,,2.0,250.17773,,-4.656613e-10,-0.9617313,0.43754053
2019-01-01 23:00:00,245.69931,,2.0,250.09131,,-4.656613e-10,-0.9249338,0.4276475
2019-01-02 00:00:00,245.45741,,2.0,250.04451,,-4.656613e-10,-0.9138001,0.41414568
2019-01-02 01:00:00,245.24637,,2.0,250.02219,,-4.656613e-10,-0.8900862,0.42024326
2019-01-02 02:00:00,245.20116,,2.0,250.08484,,8.959323e-07,-0.95512664,0.39995944
2019-01-02 03:00:00,245.04611,,2.0,250.09851,,8.959323e-07,-0.9307836,0.41171908
2019-01-02 04:00:00,245.01022,,2.0,250.27638,,2.0903535e-06,-0.93713665,0.44986016
2019-01-02 05:00:00,245.0741,,2.0,250.40312,,3.584195e-06,-0.90719545,0.46460634
2019-01-02 06:00:00,245.16885,,2.0,250.42258,,4.9280934e-06,-0.87027204,0.4614331
